Reported,Special,Date,Month,Day,Year,Composition,Composed,Event,Institution,Venue,Street,City,State,ZIP,Performers,Conductor,Image,Notes,Extra
,,8/3/22,8,3,2022,and yet,2022,Composers Conference ,Brandeis University,Slosberg Music Center,,Waltham,MA,,Composers Conference Ensemble,Vimbayi Kaziboni,,,
,,7/27/22,7,27,2022,an empty frame,2022,Composers Conference ,Brandeis University,Slosberg Music Center,,Waltham,MA,,"Neil Beckmann, guitar",,,,
,,7/8/22,7,8,2022,these old roots,2017,International Computer Music Conference,University of Limerick,Millenium Theatre,,Limerick,IE,,Crash Ensemble,,,"Alex Petcu, percussion",
,,5/23/22,5,23,2022,still life,2022,,Union College,Emerson Auditorium,,Schenectady,NY,12308,Switch~ Ensemble,,,,
,,5/23/22,5,23,2022,cicada song,2018,,Union College,Emerson Auditorium,,Schenectady,NY,12308,Switch~ Ensemble,,,,
,,3/5/22,3,5,2022,these old roots,2020,Washington State University Festival of Contemporary Music,Washington State University School of Music,Bryan Hall Theatre,,Pullman,WA,,"Bonnie Anne Whiting, percussion",,,,
,,2/13/22,2,13,2022,Strata,2021,Switch Ensemble Mizzou Residency,"University of Missouri, Columbia",George Caleb Bingham Art Gallery,,Columbia ,MO,,Switch~ Ensemble,,,,
,,6/24/21,6,24,2021,Strata,2021,New York City Electroacoustic Music Festival,,Virtual,,Online,The Internet,,Switch~ Ensemble,,,,
,,5/6/21,5,6,2021,Audubon Sketches,2018,Music Department Video Viewing,Union College,Emerson Auditorium,,Schenectady,NY,12308,American Wild Ensemble,,,,
,,5/2/21,5,2,2021,Strata,2021,,"University of Missouri, Columbia",Virtual,,Online,The Internet,,Switch~ Ensemble,,,,
,SJ,4/23/21,4,23,2021,Strata,2021,SEAMUS Conference and Music Festival,,Virtual,,Online,The Internet,,Switch~ Ensemble,,,,
,SJ,4/22/21,4,22,2021,Audubon Sketches,2018,Earth Day Art Model,,Virtual,,Online,The Internet,,American Wild Ensemble,,,,
,,1/22/21,1,23,2021,Smoke and Mirrors (saxophone version),2020,Ensemble Sargo |EDGE| Virtual Concert,,Virtual,,Online,The Internet,,Ensemble Sargo,,,,
,,2/13/21,2,13,2021,a thing of dream and mist,2011,Circuit Bridges Virtual Concert Seriess,,Virtual,,Online,The Internet,,"Drew Whiting, saxophone",,,,
,,9/30/20,9,30,2020,from these old roots,2017,EM | One,,Sursa Performance Hall,,Muncie,IN,,,,,,
,SJ,2/22/20,2,20,2020,from these old roots,2017,SPLICE Festival 3,,"Souers Recital Hall, Center for Performing Arts",420 South Patterson Avenue,Oxford,OH,45056,"Adam Vidiksis, percussion",,,,
,,11/9/19,11,9,2019,how silence comes,2019,Third Practice Electroacoustic Music Festival,,Camp Concert Hall,"Booker Hall of Music, 28 Westhampton Way",Richmond,VA,23173,"Chris Chandler, guitar",,,,
,,4/27/19,4,27,2019,Audubon Sketches,2018,,,VCU Institute for Contemporary Art,601 W Broad St,Richmond,VA,23220,American Wild Ensemble and VCU Music Students,,,,
,,4/26/19,4,26,2019,Audubon Sketches,2018,,,VCU Institute for Contemporary Art,601 W Broad St,Richmond,VA,23220,American Wild Ensemble and VCU Music Students,,,,
,J,3/22/19,3,22,2019,from these old roots,2017,SEAMUS Conference and Music Festival,,Berklee College of Music,,Boston,MA,2215,"Justin Alexander, percussion",,,,
,,11/7/18,11,7,2018,the resonance after...,2008,,,Weigel Hall,1866 College Road,Columbus,OH,43210,OSU New Music Collective,,,,
,,11/2/18,11,2,2018,cicada song,2018,Third Practice Electroacoustic Music Festival,,Camp Concert Hall,,Richmond,VA,23173,,,,,
,S,9/23/18,9,23,2018,Audubon Sketches,2018,SONICBernheim/Harvest Moon,,Bernheim Arboretum and Research Forest,State Highway 245,Clermont,KY,40110,American Wild Ensemble,,mitaw.jpg,,
,S,8/25/18,8,25,2018,Audubon Sketches,2018,50th Anniversary of the North Cascades National Park Service Complex,,The Trail of the Cedars,,Marblemount,WA,98267,American Wild Ensemble,,mitaw2.jpg,,
,,8/24/18,8,24,2018,the view from here,2016,,,North Cascades National Park Service Complex,,Marblemount,WA,,American Wild Ensemble,,mitaw3.jpg,,
,,8/22/18,8,22,2018,the view from here,2016,,,North Cascades National Park Service Complex,,Marblemount,WA,,American Wild Ensemble,,mitaw.jpg,,
,SJ,5/18/18,5,18,2018,from these old roots,2017,Forum Wallis Ars Electronica 2018,,Schloss Leuk,,Leuk,CH,,,,,,
,,11/4/17,11,4,2017,from these old roots,2017,Third Practice Electroacoustic Music Festival,,Camp Concert Hall,"Booker Hall of Music, 28 Westhampton Way",Richmond,VA,23173,,,,,
,SJ,3/31/17,3,31,2017,Smoke and Mirrors,2013,Society of Composers National Conference,,Western Michigan University,,Kalamazoo,MI,,Ensemble Dal Niente,,dalniente.jpg,,
,SJ,11/11/16,11,11,2016,"in shadow, in shade",2012,Electroacoustic Barn Dance,,University of Mary Washington,,Fredericksburg,VA,,"Keith Kirchoff, piano",,keithkirchoff.jpg,,
,,11/4/16,11,4,2016,"in shadow, in shade",2012,Third Practice Electroacoustic Music Festival,,Camp Concert Hall,"Booker Hall of Music, 28 Westhampton Way",Richmond,VA,23173,"Wei-Han Wu, piano",,wei-han.jpg,,
,SJ,9/12/16,9,12,2016,Smoke and Mirrors,2013,International Computer Music Conference,,"TivoliVredenburg, Hertz",Vlaamse Toren 7,Utrecht,NL,,Modelo62,,icmc2016.png,,
Y,,8/17/16,8,17,2016,the view from here,2016,Music in the American Wild Western Tour,,Olympic National Park,Hoh Rainforest's Hall of Mosses Trail,Forks,WA,98331,American Wild Ensemble,,mitaw.jpg,,
Y,,8/16/16,8,16,2016,the view from here,2016,Music in the American Wild Western Tour,,Olympic National Park,Hurricane Ridge Visitor Center,Port Angeles,WA,98362,American Wild Ensemble,,mitaw2.jpg,,
Y,,8/15/16,8,15,2016,the view from here,2016,Music in the American Wild Western Tour,,Olympic National Park,Heart O'the Hills Campground,Port Angeles,WA,98362,American Wild Ensemble,,mitaw3.jpg,,
Y,,8/14/16,8,14,2016,the view from here,2016,Music in the American Wild Western Tour,,"Mount Rainier National Park, Sunrise Visitor Center",Sunrise Park Rd,Ashford,WA,98304,American Wild Ensemble,,mitaw.jpg,,
Y,,8/13/16,8,13,2016,the view from here,2016,Music in the American Wild Western Tour,,"Mount Rainier National Park, Paradise Visitor Center",Mount Rainier National Park,Ashford,WA,98304,American Wild Ensemble,,mitaw2.jpg,,
Y,,8/8/16,8,8,2016,the view from here,2016,Music in the American Wild Western Tour,,"North Cascades National Park, Visitor Center",,Marblemount,WA,98267,American Wild Ensemble,,mitaw3.jpg,,
Y,,8/7/16,8,7,2016,the view from here,2016,Music in the American Wild Western Tour,,"North Cascades National Park, Environmental Learning Center",1940 Diablo Dam Rd,Rockport,WA,98283,American Wild Ensemble,,mitaw.jpg,,
Y,,8/6/16,8,6,2016,the view from here,2016,Music in the American Wild Western Tour,,Good Shepherd Center,4649 Sunnyside Ave N,Seattle,WA,98103,American Wild Ensemble,,mitaw2.jpg,,
Y,,8/5/16,8,5,2016,the view from here,2016,Music in the American Wild Western Tour,,San Juan Island National Historical Park,American Camp,Friday Harbor,WA,98250,American Wild Ensemble,,mitaw3.jpg,,
Y,,8/4/16,8,4,2016,the view from here,2016,Music in the American Wild Western Tour,,San Juan Island National Historical Park,English Camp,Friday Harbor,WA,98250,American Wild Ensemble,,mitaw.jpg,,
Y,,7/31/16,7,31,2016,the view from here,2016,Music in the American Wild Eastern Tour,,George Eastman Museum,900 East Ave,Rochester,NY,14607,American Wild Ensemble,,mitaw2.jpg,,
Y,,6/18/16,6,18,2016,the view from here,2016,Music in the American Wild Eastern Tour,,"Byrd Visitor Center, Shenandoah National Park",Skyline Drive Milepost 51,Stanley,VA,22851,American Wild Ensemble,,mitaw3.jpg,,
Y,,6/17/16,6,17,2016,the view from here,2016,Music in the American Wild Eastern Tour,,The Theatre,291 Gay Street,Washington,VA,22747,American Wild Ensemble,,mitaw.jpg,,
Y,,6/14/16,6,14,2016,the view from here,2016,Music in the American Wild Eastern Tour,,"Top of Purchase Knob, Great Smoky Mountains National Park",107 Purchase Rd,Waynesville,TN,28785,American Wild Ensemble,,mitaw2.jpg,,
Y,,6/11/16,6,11,2016,the view from here,2016,Music in the American Wild Eastern Tour,,"Mammoth Cave, The Rotunda",,Mammoth Cave,KY,,American Wild Ensemble,,mitaw3.jpg,,
Y,,6/9/16,6,9,2016,the view from here,2016,Music in the American Wild Eastern Tour,,Locust Grove,561 Blankenbaker Lane,Louisville,KY,40207,American Wild Ensemble,,mitaw.jpg,,
Y,J,5/22/16,5,22,2016,Smoke and Mirrors,2013,Queens New Music Festival,,Big Secret Theatre,,"Long Island City, Queens",NY,,Switch~ Ensemble,Jason Thorpe Buchanan,switch.jpg,,
Y,,4/29/16,4,29,2016,a thing of dream and mist,2011,,,Weinstein Center Global Commons,,Richmond,VA,,"Emily Loboda, soprano saxophone",,emilyloboda.jpg,,
Y,J,2/13/16,2,13,2016,"in shadow, in shade",2016,SEAMUS Conference and Music Festival,,Carol A. Carter Recital Hall,,Statesboro,GA,,"Keith Kirchoff, piano",,keithkirchoff.jpg,,
Y,,11/6/15,11,6,2015,Recast Fragments,2015,Third Practice Electroacoustic Music Festival,,Camp Concert Hall,,Richmond,VA,,Ensemble U,,ensembleu.jpg,,
Y,S,11/3/15,11,3,2015,Recast Fragments,2015,St Cloud State University,,"Performing Arts Center, Recital Hall",620 3rd Ave South.,St. Cloud,MN,,Ensemble U,,ensembleu.jpg,,
N,,4/20/15,4,20,2015,deep in liquid indigo,2012,,,Downtown Presbyterian Church,,Nashville,TN,,Gateway Chamber Ensemble,Gregory Wolynec,gateway.jpg,,
